hash,blockNumber,timeStamp,from,to,value,gas,gasUsed,gasPrice,isError,txreceipt_status,contractAddress,input,methodId,functionName,method,tokenName,tokenSymbol,tokenDecimal,tokenID,tokenValue,type,traceId,errCode
0xbd9e19d32df428e3a855cff00cd1c78bf3a2e4f14314f8ee79ca003ca0c0ea7c,88685813,1756828264,0x64e5ada896e70fa216de47efe132eb7df10dd06e,0xd8d9142588344e187842d6213ae8536f6b81f3e7,133773647300000000000,947250,421000,6000000000,0,1,,0x,0x,,0x,,,,,,,,
0xc5a4ba6b4a4c3c0effb53d5f0d4b982132d808176571ca7365f61fbf7bc27043,90344146,1756995001,0x59459f95abfbb6e1589f115abac1b1d992ef4ddc,0x64e5ada896e70fa216de47efe132eb7df10dd06e,29980000000000000000,21000,21000,6000000000,0,1,,0x,0x,,0x,,,,,,,,
0xc2d305716c291b1b23fd59c88bcfbd802302503d8b2c4975b42a3e622f57722f,90347247,1756995312,0x64e5ada896e70fa216de47efe132eb7df10dd06e,0x32bd783d7f7be0828fd9f7cd1a5915ce501ad9d1,100000000000000000,1789487,526325,6000000000,0,1,0x32bd783d7f7be0828fd9f7cd1a5915ce501ad9d1,0x2abd68e100000000000000000000000064e5ada896e70fa216de47efe132eb7df10dd06e0000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0x2abd68e1,,0x2abd68e1,"Hi, I'm $SOMI!",,,,1,,,
0x7e1a585021d2668cbb8e6567608864f85da70702e630247397544f7b75e30445,91148385,1757075861,0x64e5ada896e70fa216de47efe132eb7df10dd06e,0x347b4be0f7bf542597ba232e5f282ca2ec6a970b,100000000000000,2361336,382816,6000000000,0,1,0x42c81da4691cda36ac18ce9b93c9b797625fc9bf,0x758b647a00000000000000000000000042c81da4691cda36ac18ce9b93c9b797625fc9bf000000000000000000000000000000000000000000000000c7227a73ad1ce000,0x758b647a,,"buyExactIn(address _token, uint256 _amountOutMin)",Somnia Dog,SODOG,18,,14421272709133491847,,,
0x66bc25e02705fda9484f82bcbec4e71d44a9480a16ba6f2ca8b442c5abac1f6b,91148899,1757075912,0x64e5ada896e70fa216de47efe132eb7df10dd06e,0x42c81da4691cda36ac18ce9b93c9b797625fc9bf,0,2085447,260199,6000000000,0,1,,0x095ea7b3000000000000000000000000347b4be0f7bf542597ba232e5f282ca2ec6a970b000000000000000000000000000000000000000000000000c7ef6aa75afb3000,0x095ea7b3,,0x095ea7b3,,,,,,,,
0xaa6063d6d02dd4223f62aa8b066cf6aa39ce00aaaa42668acbd9ba51be06851b,91149027,1757075925,0x64e5ada896e70fa216de47efe132eb7df10dd06e,0x347b4be0f7bf542597ba232e5f282ca2ec6a970b,0,1941685,196305,6000000000,0,1,0x42c81da4691cda36ac18ce9b93c9b797625fc9bf,0x30a2aa2000000000000000000000000042c81da4691cda36ac18ce9b93c9b797625fc9bf000000000000000000000000000000000000000000000000c7ef6aa75afb300000000000000000000000000000000000000000000000000000005838928b1000,0x30a2aa20,,"sellExactIn(address _token, uint256 _tokenAmount, uint256 _amountCollateralMin)",Somnia Dog,SODOG,18,,14406851000000000000,,,
0x1b740c562db7c0aaaa4fbe62d62e2ded86752af50e3a3a416b1fd51b180cc621,91149645,1757075987,0x64e5ada896e70fa216de47efe132eb7df10dd06e,0x347b4be0f7bf542597ba232e5f282ca2ec6a970b,1000000000000000,2361336,382816,6000000000,0,1,0x6d76631d718cfec2db9182db6179cfd4a0bc74b3,0x758b647a0000000000000000000000006d76631d718cfec2db9182db6179cfd4a0bc74b30000000000000000000000000000000000000000000000083628768990824000,0x758b647a,,"buyExactIn(address _token, uint256 _amountOutMin)",TEST,TEST,18,,152237170639945149026,,,
0x27487e0b3bd0358d99d3d7c35d7075678d63e8654f190ac866169a9691f8a104,91149820,1757076005,0x64e5ada896e70fa216de47efe132eb7df10dd06e,0x6d76631d718cfec2db9182db6179cfd4a0bc74b3,0,2085447,260199,6000000000,0,1,,0x095ea7b3000000000000000000000000347b4be0f7bf542597ba232e5f282ca2ec6a970b0000000000000000000000000000000000000000000000083e9a38c872155000,0x095ea7b3,,0x095ea7b3,,,,,,,,
0x7e15517d79d38b431f97adf565927aea06570ad7e59ba22181097e60349ad689,91149915,1757076014,0x64e5ada896e70fa216de47efe132eb7df10dd06e,0x347b4be0f7bf542597ba232e5f282ca2ec6a970b,0,1941685,196305,6000000000,0,1,0x6d76631d718cfec2db9182db6179cfd4a0bc74b3,0x30a2aa200000000000000000000000006d76631d718cfec2db9182db6179cfd4a0bc74b30000000000000000000000000000000000000000000000083e9a38c8721550000000000000000000000000000000000000000000000000000003714ce4c99000,0x30a2aa20,,"sellExactIn(address _token, uint256 _tokenAmount, uint256 _amountCollateralMin)",TEST,TEST,18,,152084933000000000000,,,
0x9b7b63d6c21b6d7e5ff1e3746399d45f5ea4bc1404b06c67ee6086638d7d89d3,91150288,1757076052,0x64e5ada896e70fa216de47efe132eb7df10dd06e,0x347b4be0f7bf542597ba232e5f282ca2ec6a970b,500000000000000,2361336,382816,6000000000,0,1,0x7981036cce68d543cf840ed2b83b27e514bf119a,0x758b647a0000000000000000000000007981036cce68d543cf840ed2b83b27e514bf119a0000000000000000000000000000000000000000000000038647326f7e596000,0x758b647a,,"buyExactIn(address _token, uint256 _amountOutMin)",PAUL THOMAS,PAUL,18,,65342764600818913247,,,
0x19b30d272b5e3e27de65687ebac893e2fa1817668a2c69192b78c7d7bd363e0d,91150542,1757076077,0x64e5ada896e70fa216de47efe132eb7df10dd06e,0x7981036cce68d543cf840ed2b83b27e514bf119a,0,2085447,260199,6000000000,0,1,,0x095ea7b3000000000000000000000000347b4be0f7bf542597ba232e5f282ca2ec6a970b00000000000000000000000000000000000000000000000389e7fd745344e000,0x095ea7b3,,0x095ea7b3,,,,,,,,
