Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Label,Description,TxHash
2025/09/02 15:51:04,133.77364730,SOMI,,,0.00252600,SOMI,,,0xbd9e19d32df428e3a855cff00cd1c78bf3a2e4f14314f8ee79ca003ca0c0ea7c
2025/09/04 14:10:01,,,29.98000000,SOMI,0.00012600,SOMI,,,0xc5a4ba6b4a4c3c0effb53d5f0d4b982132d808176571ca7365f61fbf7bc27043
2025/09/04 14:15:12,0.10000000,SOMI,,,0.00315795,SOMI,,,0xc2d305716c291b1b23fd59c88bcfbd802302503d8b2c4975b42a3e622f57722f
2025/09/06 21:07:45,25.00000000,SOMI,,,0.00012600,SOMI,,,0x98b557e3d33f3a50fbe1215b39c315c684bc0b7ef7108505aed87cfd60281ab9
2025/09/10 21:13:07,,,,,0.00287081,SOMI,,,gas:0xdf90f463518dd19df9d3edc7c28d199be67cccced65f71780030637104d65a0e
2025/09/10 21:19:43,62.44512900,USDC,,,0.00269163,SOMI,,,0x5372637df8aee449079b74a6ab42f0eed6f6c500f92efc0e9a19d746c8e2d165
2025/09/11 13:22:16,5.10000000,USDC,,,0.01231529,SOMI,,,0x0751b1f12971052811e455bce19d766ef620175fa62da82c85f70723b5d45adf
2025/09/11 13:24:55,5.10024700,USDC,,,0.00456802,SOMI,,,0x8d2305e75096147eb403d136eb15deff243c332dbe3e930e0178a728eacffe6f
2025/09/16 17:36:21,,,,,0.00287081,SOMI,,,gas:0x7c97dd10255d1d6c79f6e7ac3b1230de2a9e9f06050e293768398b65a401d726
2025/09/16 18:28:03,0.01500000,SOMI,,,0.00012600,SOMI,,,0x410d39477bed8b7916aa696e7a660ccdabf13a29f1273709ccedc0f4502312d8
2025/09/16 18:31:22,0.01000000,SOMI,,,0.00012600,SOMI,,,0xaab65b555e25de8b8e04153ba594c2ec060a00527cfb5f43dc5e622a2b27838d
2025/09/18 17:41:15,0.15000000,SOMI,,,0.00315641,SOMI,,,0x44f4e17c4fe0edd66fe7df3fcc9861d740cdccad33025662683da2e8704d00af
2025/09/19 16:58:59,73.99268800,USDC,,,0.00311562,SOMI,,,0x7edd256aabf91b995847e339754db1924c042b72a313020a730b005f71bd9253
2025/09/19 17:38:53,73.00000000,USDC,,,0.00318749,SOMI,,,0xcecd23345b5a00fc8d1231120cd1f4014078143283d9361eb2cae026a0de8060
2025/09/19 18:18:11,30.00000000,USDC,,,0.02528201,SOMI,,,0x38131e8143ff560bfaffd6736c6b70869795d4e7a06b0ba859eeab63e7629167
2025/09/19 19:38:10,,,,,0.00302146,SOMI,,,gas:0x2333a407ca771951e7b6f3e09c2408159c650b83646606597845097f85e5dbf2
2025/09/19 19:43:48,0.05000000,SOMI,,,0.01700847,SOMI,,,0x52f7894f23d097d22e880d6997e8da8fca50f6c1ce3877954a7ade844a5f1ab7
2025/09/19 19:43:52,,,29.82958600,USDC,0.05665964,SOMI,,,0x8b0dc1083046f4a9ed241cbf814b8e513becb43b531db93ba18a4908f3263ec5
2025/09/23 13:55:03,,,,,0.00287081,SOMI,,,gas:0x287e7d1fcf03a976bf1bc924e68b3b8d2234eec4dfee8620324f5ff655aab803
2025/09/26 14:24:27,0.20000000,SOMI,,,0.00168364,SOMI,,,0x0c2c2265149796052be8ccc9ac5a3606a0b7fa43c39da27e4722e4b8aee7a122
2025/09/30 15:22:16,,,,,0.00287081,SOMI,,,gas:0x28c6e0138ce061c4c4e72374fe67879d13f54ff8f523d1dc166467c57c760fbe
2025/10/02 16:54:51,,,,,0.00300182,SOMI,,,gas:0x8285f7485a6d6172ed0f62607289434b03e6aff3f5324b9f9e55e41163ce08ee
2025/10/04 07:50:31,195.00000000,SOMI,,,0.00012600,SOMI,,,0xcf472db02b0bd799460315bad24cdac664ef33a3d0ad22cc77ec65e661d86dde
2025/10/07 15:32:55,,,,,0.00287081,SOMI,,,gas:0x849c6d32f946a453507375f02b265c0d6c5fbb509b1df4e6af674025a264bd7b
2025/10/07 15:52:18,,,,,0.00525930,SOMI,,,gas:0xf5f7e3042eec1da2f9ed5f6be2876899783bc868477563e80126744e9f9033d4
2025/10/07 15:52:51,,,,,0.00525930,SOMI,,,gas:0x36fe07af6fdf7be338e598daaaa73b19ac2c563c0d92ac077e34ca0a88266045
2025/10/07 15:53:12,,,,,0.00525930,SOMI,,,gas:0x822de5b18cdcb757cb6bc69f45f69ebfa00659b9547f0ababb12eecb8ebbdf6f
